Country,Code,Year,emission
Solomon Islands,SLB,2020,0.435
Somalia,SOM,2020,0.0354
South Africa,ZAF,2020,7.6204
South Korea,KOR,2020,11.6562
South Sudan,SSD,2020,0.1053
Spain,ESP,2020,4.4683
Sri Lanka,LKA,2020,0.9857
Sudan,SDN,2020,0.4301
Suriname,SUR,2020,3.7914
Sweden,SWE,2020,3.8255
Switzerland,CHE,2020,3.7319
Syria,SYR,2020,1.7446
Taiwan,TWN,2020,11.4698
Tajikistan,TJK,2020,0.9906
Tanzania,TZA,2020,0.1831
Thailand,THA,2020,3.6929
Timor,TLS,2020,0.3987
Togo,TGO,2020,0.2647
Tonga,TON,2020,1.3597
Trinidad and Tobago,TTO,2020,25.3731
Tunisia,TUN,2020,2.3799
Turkey,TUR,2020,4.6573
Turkmenistan,TKM,2020,12.4914
Turks and Caicos Islands,TCA,2020,5.2313
Tuvalu,TUV,2020,0.6415
Uganda,UGA,2020,0.107
Ukraine,UKR,2020,4.8912
United Arab Emirates,ARE,2020,15.1933
United Kingdom,GBR,2020,4.8549
United States,USA,2020,14.2379
Uruguay,URY,2020,1.6812
Uzbekistan,UZB,2020,3.3698
Vanuatu,VUT,2020,0.591
Venezuela,VEN,2020,2.9754
Vietnam,VNM,2020,2.6126
World,OWID_WRL,2020,4.4654
Yemen,YEM,2020,0.3275
Zambia,ZMB,2020,0.3575
Zimbabwe,ZWE,2020,0.7086
